"protein","entry_name","description","gene_names","family","expression_tissue"
"Q86WC4","OSTM1_HUMAN","Osteopetrosis-associated transmembrane protein 1","OSTM1 GL HSPC019 UNQ6098/PRO21201","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86WI1","PKHL1_HUMAN","Fibrocystin-L","PKHD1L1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Testis\Thymus\Tongue\Urinary"
"Q86WK6","AMGO1_HUMAN","Amphoterin-induced protein 1","AMIGO1 ALI2 AMIGO KIAA1163","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"Q86WK9","PAQR7_HUMAN","Membrane progestin receptor alpha","PAQR7 MRPA","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q86WR0","CCD25_HUMAN","Coiled-coil domain-containing protein 25","CCDC25","TM","Adrenal\Brain\Eye\Heart\Kidney\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86WS5","TMPSC_HUMAN","Transmembrane protease serine 12","TMPRSS12","TM","GAT\Testis\Tongue"
"Q86WV6","STING_HUMAN","Stimulator of interferon genes protein","STING1 ERIS MITA STING TMEM173","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86X19","TMM17_HUMAN","Transmembrane protein 17","TMEM17","TM","Brain\Eye\GAT\Kidney\Lung\Pancreas\Skin"
"Q86X29","LSR_HUMAN","Lipolysis-stimulated lipoprotein receptor","LSR ILDR3 LISCH","TM","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86X52","CHSS1_HUMAN","Chondroitin sulfate synthase 1","CHSY1 CHSY CSS1 KIAA0990 UNQ756/PRO1487","TM","Adrenal\BAT\Eye\GAT\Kidney\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue"
"Q86XL3","ANKL2_HUMAN","Ankyrin repeat and LEM domain-containing protein 2","ANKLE2 KIAA0692 LEM4","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86XS8","GOLI_HUMAN","E3 ubiquitin-protein ligase RNF130","RNF130","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86XT9","TM219_HUMAN","Insulin-like growth factor-binding protein 3 receptor","TMEM219","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q86XX4","FRAS1_HUMAN","Extracellular matrix organizing protein FRAS1","FRAS1 KIAA1500","TM","Brain\Kidney\Lung\Small\Spleen\Thymus\Urinary"
"Q86Y07","VRK2_HUMAN","Serine/threonine-protein kinase VRK2","VRK2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86Y22","CONA1_HUMAN","Collagen alpha-1 chain","COL23A1","TM","BAT\Brain\Eye\GAT\Lung\Prostate\Skin\Small\Spleen\Stomach\Urinary"
"Q86Y34","AGRG3_HUMAN","Adhesion G protein-coupled receptor G3","ADGRG3 GPR97 PGR26","TM(GPCR)","Adrenal\GAT\Liver\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"Q86Y82","STX12_HUMAN","Syntaxin-12","STX12","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86YC3","LRC33_HUMAN","Transforming growth factor beta activator LRRC33","NRROS LRRC33 UNQ3030/PRO9833","TM","BAT\Brain\Eye\GAT\Lung\MAT\SCAT\Skin\Spleen\Thymus\Urinary"
"Q86YD5","LRAD3_HUMAN","Low-density lipoprotein receptor class A domain-containing protein 3","LDLRAD3 LRAD3","TM","Adrenal\Kidney\Spleen\Thymus"
"Q86YN1","DOPP1_HUMAN","Dolichyldiphosphatase 1","DOLPP1 LSFR2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q86YT5","S13A5_HUMAN","Na/citrate cotransporter","SLC13A5 NACT","TM(Trans)","BAT\Brain\Eye\Lung\Testis"
"Q86YW5","TRML1_HUMAN","Trem-like transcript 1 protein","TREML1 TLT1 UNQ1825/PRO3438","TM","Adrenal\BAT\Eye\GAT\Heart\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Thymus\Tongue"
"Q86Z14","KLOTB_HUMAN","Beta-klotho","KLB","TM","Adrenal\BAT\GAT\Liver\MAT\Pancreas\SCAT\Spleen\Stomach\Testis\Thymus"
"Q8IU68","TMC8_HUMAN","Transmembrane channel-like protein 8","TMC8 EVER2 EVIN2","TM(IC)","Adrenal\BAT\GAT\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Testis\Thymus\Urinary"
"Q8IU80","TMPS6_HUMAN","Transmembrane protease serine 6","TMPRSS6 UNQ354/PRO618","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IU89","CERS3_HUMAN","Ceramide synthase 3","CERS3 LASS3","TM","Prostate\Skin\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IUA7","ABCA9_HUMAN","ATP-binding cassette sub-family A member 9","ABCA9","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IUC8","GLT13_HUMAN","Polypeptide N-acetylgalactosaminyltransferase 13","GALNT13 KIAA1918","TM","Brain\Eye\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Small\Spleen\Stomach\Thymus\Urinary"
"Q8IUH4","ZDH13_HUMAN","Palmitoyltransferase ZDHHC13","ZDHHC13 HIP14L HIP3RP","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IUH5","ZDH17_HUMAN","Palmitoyltransferase ZDHHC17","ZDHHC17 HIP14 HIP3 HYPH KIAA0946 HSPC294","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IUK5","PLDX1_HUMAN","Plexin domain-containing protein 1","PLXDC1 TEM3 TEM7","TM","Adrenal\Brain\Eye\GAT\Heart\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IUR5","TMTC1_HUMAN","Protein O-mannosyl-transferase TMTC1","TMTC1 ARG99","TM","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IUW5","RELL1_HUMAN","RELT-like protein 1","RELL1 PSEC0162","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IUX1","T126B_HUMAN","Complex I assembly factor TMEM126B, mitochondrial","TMEM126B HT007","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IUY3","GRM2A_HUMAN","GRAM domain-containing protein 2A","GRAMD2A GRAMD2","TM","Brain\Eye\Lung\Small\Stomach\Testis"
"Q8IV01","SYT12_HUMAN","Synaptotagmin-12","SYT12","TM","Adrenal\BAT\Brain\Eye\GAT\MAT\SCAT\Spleen\Testis\Thymus"
"Q8IV08","PLD3_HUMAN","5'-3' exonuclease PLD3-bisphosphate synthase PLD3","PLD3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IV77","CNGA4_HUMAN","Cyclic nucleotide-gated channel alpha-4","CNGA4","TM(IC)","Brain\Eye\GAT"
"Q8IVB4","SL9A9_HUMAN","Sodium/hydrogen exchanger 9/H exchanger 9","SLC9A9 NHE9 Nbla00118","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IVJ1","S41A1_HUMAN","Solute carrier family 41 member 1","SLC41A1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IVP5","FUND1_HUMAN","FUN14 domain-containing protein 1","FUNDC1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IVQ6","ZDH21_HUMAN","Palmitoyltransferase ZDHHC21","ZDHHC21","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IVV8","NKAI4_HUMAN","Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4/K-transporting ATPase subunit beta-1-interacting protein 4","NKAIN4 C20orf58 FAM77A","TM","Brain\GAT\Pancreas\Stomach\Urinary"
"Q8IVW8","SPNS2_HUMAN","Sphingosine-1-phosphate transporter SPNS2","SPNS2","TM(Trans)","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Tongue\Urinary"
"Q8IW00","VSTM4_HUMAN","V-set and transmembrane domain-containing protein 4","VSTM4 C10orf72","TM","Adrenal\BAT\Brain\Heart\Kidney\Liver\Lung\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IW52","SLIK4_HUMAN","SLIT and NTRK-like protein 4","SLITRK4","TM","Brain\Eye\Kidney\Thymus"
"Q8IW70","T151B_HUMAN","Transmembrane protein 151B","TMEM151B C6orf137 TMEM193","TM","Brain\Eye\Prostate\Spleen\Stomach\Thymus"
"Q8IWA4","MFN1_HUMAN","Mitofusin-1","MFN1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IWA5","CTL2_HUMAN","Choline transporter-like protein 2","SLC44A2 CTL2 PSEC0210","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IWB1","IPRI_HUMAN","Inositol 1,4,5-trisphosphate receptor-interacting protein","ITPRIP DANGER KIAA1754","TM","Adrenal\BAT\GAT\Heart\Kidney\Lung\MAT\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IWB9","TEX2_HUMAN","Testis-expressed protein 2","TEX2 KIAA1738 TMEM96","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IWD5","MFS6L_HUMAN","Major facilitator superfamily domain-containing protein 6-like","MFSD6L FP7072","TM","Kidney\Pancreas\Prostate\Small\Stomach\Testis"
"Q8IWK6","AGRA3_HUMAN","Adhesion G protein-coupled receptor A3","ADGRA3 GPR125 UNQ556/PRO1113","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IWR1","TRI59_HUMAN","Tripartite motif-containing protein 59","TRIM59 RNF104 TRIM57 TSBF1","TM","Adrenal\Brain\Eye\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus"
"Q8IWT1","SCN4B_HUMAN","Sodium channel regulatory subunit beta-4","SCN4B","TM(IC)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue"
"Q8IWT6","LRC8A_HUMAN","Volume-regulated anion channel subunit LRRC8A","LRRC8A KIAA1437 LRRC8 SWELL1 UNQ221/PRO247","TM(IC)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IWU2","LMTK2_HUMAN","Serine/threonine-protein kinase LMTK2","LMTK2 AATYK2 BREK KIAA1079 KPI2 LMR2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IWV1","LAX1_HUMAN","Lymphocyte transmembrane adapter 1","LAX1 LAX","TM","Lung\MAT\SCAT\Small\Spleen\Thymus"
"Q8IWX5","SGPP2_HUMAN","Sphingosine-1-phosphate phosphatase 2","SGPP2","TM","Lung\Skin\Small\Stomach"
"Q8IWY9","CDAN1_HUMAN","Codanin-1","CDAN1 UNQ664/PRO1295","TM","Adrenal\Brain\Eye\GAT\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IX05","CD302_HUMAN","CD302 antigen","CD302 CLEC13A DCL1 KIAA0022","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IXB3","TARG1_HUMAN","Trafficking regulator of GLUT4 1","TRARG1 IFITMD3 LOST1 TUSC5","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IXI1","MIRO2_HUMAN","Mitochondrial Rho GTPase 2","RHOT2 ARHT2 C16orf39","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IXI2","MIRO1_HUMAN","Mitochondrial Rho GTPase 1","RHOT1 ARHT1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IXK2","GLT12_HUMAN","Polypeptide N-acetylgalactosaminyltransferase 12","GALNT12","TM","Adrenal\Eye\GAT\Kidney\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IXM6","NRM_HUMAN","Nurim","NRM NRM29 UNQ555/PRO1112","TM","Adrenal\BAT\Brain\Eye\GAT\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IXU6","S35F2_HUMAN","Solute carrier family 35 member F2","SLC35F2","TM(Trans)","Adrenal\Brain\Eye\GAT\Kidney\MAT\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IY17","PLPL6_HUMAN","Patatin-like phospholipase domain-containing protein 6","PNPLA6 NTE","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IY26","PLPP6_HUMAN","Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6","PLPP6 PDP1 PPAPDC2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IY34","S15A3_HUMAN","Solute carrier family 15 member 3","SLC15A3 OCTP PHT2 PTR3","TM(Trans)","GAT\Kidney\Liver\Lung\MAT\SCAT\Small\Spleen\Stomach\Thymus"
"Q8IY49","PAQRA_HUMAN","Monocyte to macrophage differentiation factor 2","MMD2 PAQR10","TM","Adrenal\Brain\Eye\Testis"
"Q8IY50","S35F3_HUMAN","Solute carrier family 35 member F3","SLC35F3","TM(Trans)","Brain\Eye\Kidney"
"Q8IY95","TM192_HUMAN","Transmembrane protein 192","TMEM192","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IYJ0","PIANP_HUMAN","PILR alpha-associated neural protein","PIANP C12orf53 PANP UNQ828/PRO1755","TM","Adrenal\Brain\Eye\GAT\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IYP9","ZDH23_HUMAN","Palmitoyltransferase ZDHHC23","ZDHHC23","TM","BAT\Brain\Kidney\Pancreas\Prostate\Small\Spleen\Stomach\Thymus"
"Q8IYR6","TEFF1_HUMAN","Tomoregulin-1","TMEFF1 C9orf2","TM","BAT\Brain\Eye\Pancreas\Testis"
"Q8IYS0","ASTRC_HUMAN","Protein Aster-C","GRAMD1C UNQ2543/PRO6095","TM(Trans)","BAT\Kidney\Liver\Lung\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IYS2","K2013_HUMAN","Uncharacterized protein KIAA2013","KIAA2013","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IZ52","CHSS2_HUMAN","Chondroitin sulfate synthase 2","CHPF CSS2 UNQ651/PRO1281","TM","Adrenal\Brain\Eye\Kidney\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IZ57","NRSN1_HUMAN","Neurensin-1","NRSN1 VMP","TM","Adrenal\BAT\Brain\Eye\Heart\Kidney\MAT\Small\Spleen\Stomach\Urinary"
"Q8IZA0","K319L_HUMAN","Dyslexia-associated protein KIAA0319-like protein","KIAA0319L AAVR KIAA1837 PP791","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IZD6","S22AF_HUMAN","Solute carrier family 22 member 15","SLC22A15 FLIPT1 UNQ9429/PRO34686","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IZF2","AGRF5_HUMAN","Adhesion G protein-coupled receptor F5","ADGRF5 GPR116 KIAA0758","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IZF4","AGRG5_HUMAN","Adhesion G-protein coupled receptor G5","ADGRG5 GPR114 PGR27 UNQ2524/PRO6017","TM(GPCR)","MAT\SCAT\Small\Spleen\Thymus"
"Q8IZJ1","UNC5B_HUMAN","Netrin receptor UNC5B","UNC5B P53RDL1 UNC5H2 UNQ1883/PRO4326","TM","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"Q8IZK6","MCLN2_HUMAN","Mucolipin-2","MCOLN2","TM(IC)","Adrenal\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IZN3","ZDH14_HUMAN","Palmitoyltransferase ZDHHC14","ZDHHC14","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8IZP9","AGRG2_HUMAN","Adhesion G-protein coupled receptor G2","ADGRG2 GPR64 HE6 TM7LN2","TM(GPCR)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IZR5","CKLF4_HUMAN","CKLF-like MARVEL transmembrane domain-containing protein 4","CMTM4 CKLFSF4","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IZS8","CA2D3_HUMAN","Voltage-dependent calcium channel subunit alpha-2/delta-3","CACNA2D3","TM(IC)","Adrenal\BAT\Brain\Eye\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Tongue\Urinary"
"Q8IZU9","KIRR3_HUMAN","Kin of IRRE-like protein 3","KIRREL3 KIAA1867 NEPH2 UNQ5923/PRO4502/PRO19814","TM","Brain\Eye\Skin\Thymus"
"Q8IZV2","CKLF8_HUMAN","CKLF-like MARVEL transmembrane domain-containing protein 8","CMTM8 CKLFSF8","TM","Liver\Lung\Pancreas\Prostate\Spleen\Stomach\Thymus"
"Q8IZV5","RDH10_HUMAN","Retinol dehydrogenase 10","RDH10 SDR16C4 UNQ9375/PRO34191","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8IZY2","ABCA7_HUMAN","Phospholipid-transporting ATPase ABCA7","ABCA7","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8J025","APCD1_HUMAN","Protein APCDD1","APCDD1 DRAPC1 FP7019","TM","Brain\GAT\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Tongue\Urinary"
"Q8N0U8","VKORL_HUMAN","Vitamin K epoxide reductase complex subunit 1-like protein 1","VKORC1L1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8N0Z9","VSI10_HUMAN","V-set and immunoglobulin domain-containing protein 10","VSIG10","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8N111","CEND_HUMAN","Cell cycle exit and neuronal differentiation protein 1","CEND1 BM88","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary"
"Q8N114","SHSA5_HUMAN","Protein shisa-5","SHISA5 SCOTIN PSEC0133","TM","Adrenal\BAT\GAT\Kidney\Lung\MAT\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Urinary"
"Q8N126","CADM3_HUMAN","Cell adhesion molecule 3","CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8N138","ORML3_HUMAN","ORM1-like protein 3","ORMDL3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8N139","ABCA6_HUMAN","ATP-binding cassette sub-family A member 6","ABCA6","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8N1C3","GBRG1_HUMAN","Gamma-aminobutyric acid receptor subunit gamma-1 receptor subunit gamma-1","GABRG1","TM(IC)","Brain\Lung\Prostate\Skin\Stomach\Tongue\Urinary"
"Q8N1S5","S39AB_HUMAN","Zinc transporter ZIP11","SLC39A11 C17orf26 ZIP11","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8N201","INT1_HUMAN","Integrator complex subunit 1","INTS1 KIAA1440 UNQ1821/PRO3434","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"Q8N205","SYNE4_HUMAN","Nesprin-4","SYNE4 C19orf46","TM","Eye\Kidney\Lung\Pancreas\Prostate\Skin\Thymus\Urinary"
